#x_offset,y_offset				0.3325	0
"#λ=-5
#x,y"					
0.287349865	1.410851093	0	0	0.3325	0
0.309231826	1.770550931	0.021881961	0.359699839	0.354381961	0.359699839
0.334807572	2.125295474	0.047457708	0.714444381	0.379957708	0.714444381
0.362353906	2.485003217	0.075004041	1.074152124	0.407504041	1.074152124
0.396573964	2.864304016	0.1092241	1.453452923	0.4417241	1.453452923
0.431813696	3.2133474	0.144463831	1.802496308	0.476963831	1.802496308
0.472402865	3.565624606	0.185053	2.154773513	0.517553	2.154773513
0.51840745	3.944892693	0.231057586	2.5340416	0.563557586	2.5340416
0.567483859	4.303217183	0.280133994	2.89236609	0.612633994	2.89236609
0.621052751	4.637645893	0.333702887	3.226794801	0.666202887	3.226794801
0.677524112	5.015433031	0.390174248	3.604581939	0.722674248	3.604581939
0.735443709	5.374419208	0.448093845	3.963568115	0.780593845	3.963568115
0.797048591	5.730936579	0.509698726	4.320085487	0.842198726	4.320085487
0.860910634	6.070409284	0.573560769	4.659558192	0.906060769	4.659558192
					
					
#x_offset,y_offset				0.3325	0
"#λ=-10
#x,y"					
0.210938581	1.070961122	0	0	0.3325	0
0.237775674	1.440477266	0.026837093	0.369516144	0.359337093	0.369516144
0.279927212	1.816401351	0.068988631	0.745440229	0.401488631	0.745440229
0.329427626	2.156018989	0.118489044	1.085057868	0.450989044	1.085057868
0.389299809	2.504753474	0.178361227	1.433792352	0.510861227	1.433792352
0.459809862	2.853500985	0.24887128	1.782539863	0.58137128	1.782539863
0.552702678	3.235998299	0.341764097	2.165037178	0.674264097	2.165037178
0.642183707	3.566610843	0.431245126	2.495649721	0.763745126	2.495649721
0.746630239	3.918459337	0.535691658	2.847498215	0.868191658	2.847498215
0.869293118	4.2699504	0.658354537	3.198989278	0.990854537	3.198989278
1.001541476	4.617696535	0.790602894	3.546735413	1.123102894	3.546735413
1.127675549	4.931923212	0.916736967	3.86096209	1.249236967	3.86096209
1.279393576	5.271070149	1.068454995	4.200109028	1.400954995	4.200109028
1.434069327	5.589221602	1.223130746	4.51826048	1.555630746	4.51826048
1.60260044	5.909792045	1.391661859	4.838830923	1.724161859	4.838830923
					
					
#x_offset,y_offset				0.3325	0
"#λ=-15
#x,y"					
0.153840622	1.151088052	0	0	0.3325	0
0.158578393	1.514696986	0.004737771	0.363608934	0.337237771	0.363608934
0.184881213	1.888910262	0.031040591	0.73782221	0.363540591	0.73782221
0.223834148	2.22784163	0.069993526	1.076753578	0.402493526	1.076753578
0.288284172	2.59205913	0.13444355	1.440971078	0.46694355	1.440971078
0.363094466	2.92695966	0.209253844	1.775871608	0.541753844	1.775871608
0.465496155	3.281265262	0.311655534	2.13017721	0.644155534	2.13017721
0.580214457	3.615623384	0.426373835	2.464535332	0.758873835	2.464535332
0.7245167	3.961220097	0.570676078	2.810132045	0.903176078	2.810132045
0.875515772	4.275587776	0.72167515	3.124499724	1.05417515	3.124499724
1.057895699	4.604603398	0.904055077	3.453515346	1.236555077	3.453515346
1.236454712	4.895224538	1.08261409	3.744136487	1.41511409	3.744136487
1.44207664	5.198528417	1.288236018	4.047440365	1.620736018	4.047440365
1.662051518	5.476789738	1.508210896	4.325701686	1.840710896	4.325701686
1.895763562	5.748051176	1.74192294	4.596963124	2.07442294	4.596963124
					
					
#x_offset,y_offset				0.3325	0
"#λ=-20
#x,y"					
-0.043258113	1.256354742	0	0	0.3325	0
-0.022623626	1.610413459	0.020634487	0.354058717	0.353134487	0.354058717
0.025685361	1.973574703	0.068943474	0.717219961	0.401443474	0.717219961
0.093980149	2.313970561	0.137238262	1.057615819	0.469738262	1.057615819
0.192429915	2.658671906	0.235688028	1.402317165	0.568188028	1.402317165
0.317804961	2.994049426	0.361063074	1.737694685	0.693563074	1.737694685
0.472447112	3.331181824	0.515705225	2.074827083	0.848205225	2.074827083
0.635269624	3.625034193	0.678527737	2.368679451	1.011027737	2.368679451
0.834823946	3.928011413	0.878082059	2.671656671	1.210582059	2.671656671
1.050038824	4.213836999	1.093296937	2.957482258	1.425796937	2.957482258
1.290596412	4.477829305	1.333854525	3.221474563	1.666354525	3.221474563
1.552328077	4.723586178	1.59558619	3.467231436	1.92808619	3.467231436
1.831005668	4.949302965	1.874263781	3.692948224	2.206763781	3.692948224
2.131060511	5.154820804	2.174318624	3.898466063	2.506818624	3.898466063
2.434597545	5.324349693	2.477855658	4.067994951	2.810355658	4.067994951
					
					
#x_offset,y_offset				0.3325	0
"#λ=-25
#x,y"					
-0.158587133	1.48052724	0	0	0.3325	0
-0.128038359	1.828779928	0.030548774	0.348252687	0.363048774	0.348252687
-0.062523722	2.185295531	0.096063411	0.704768291	0.428563411	0.704768291
0.034293089	2.510879151	0.192880222	1.030351911	0.525380222	1.030351911
0.166356464	2.849978469	0.324943598	1.369451229	0.657443598	1.369451229
0.323733646	3.151652525	0.48232078	1.671125284	0.81482078	1.671125284
0.520285102	3.448642033	0.678872235	1.968114793	1.011372235	1.968114793
0.745742676	3.723291992	0.904329809	2.242764751	1.236829809	2.242764751
0.986989171	3.972691324	1.145576305	2.492164084	1.478076305	2.492164084
1.266052591	4.200703483	1.424639724	2.720176242	1.757139724	2.720176242
1.549069111	4.382824017	1.707656245	2.902296777	2.040156245	2.902296777
1.875421127	4.552134627	2.03400826	3.071607387	2.36650826	3.071607387
2.184118711	4.679410492	2.342705844	3.198883252	2.675205844	3.198883252
2.524499125	4.774063173	2.683086258	3.293535932	3.015586258	3.293535932
2.85569056	4.839660056	3.014277693	3.359132816	3.346777693	3.359132816
3.222859988	4.862306943	3.381447121	3.381779702	3.713947121	3.381779702
					
					
#x_offset,y_offset				0.3325	0
"#λ=-30
#x,y"					
-0.413061876	1.56455806	0	0	0.3325	0
-0.399264999	1.842225398	0.013796877	0.277667338	0.346296877	0.277667338
-0.351826544	2.16406513	0.061235332	0.59950707	0.393735332	0.59950707
-0.259465602	2.510000497	0.153596274	0.945442437	0.486096274	0.945442437
-0.137334129	2.820779512	0.275727747	1.256221452	0.608227747	1.256221452
0.036841106	3.144094199	0.449902982	1.579536139	0.782402982	1.579536139
0.231170523	3.412279857	0.644232399	1.847721797	0.976732399	1.847721797
0.459767167	3.663782898	0.872829043	2.099224838	1.205329043	2.099224838
0.736151925	3.892360755	1.149213802	2.327802695	1.481713802	2.327802695
1.018693642	4.086144931	1.431755518	2.521586871	1.764255518	2.521586871
1.32515614	4.235177024	1.738218016	2.670618964	2.070718016	2.670618964
1.642007009	4.345734286	2.055068885	2.781176226	2.387568885	2.781176226
2.007319433	4.431251015	2.42038131	2.866692955	2.75288131	2.866692955
2.332677357	4.462222954	2.745739233	2.897664894	3.078239233	2.897664894
2.678565907	4.454382337	3.091627783	2.889824277	3.424127783	2.889824277
3.000787932	4.406233077	3.413849808	2.841675017	3.746349808	2.841675017
